MESS_ARCHIVE_E000


Message Name: Message


MCID_E000: 生と死の境に
MID_E000_BT_ノワール: $t0$Wmノワール|6$w0|$Wsノワール|$Wa$E苦,汗|$SvpSE_VOICE_NOIR_EVT_16|あぁ…こういう場所…\n母さんがすごく好きそう…$k$pきっと、いつもよりすごい呪いが\n使えそうだとか言ってるに違いないわ…$k$pあなた、これ以上苦しみたくなかったら\n母さんには近づかない方がいいわよ…$k
MID_E000_BT_ンン: $t0$Wmンン|6$w0|$Wsンン|$Wa$E笑,|$SvpSE_VOICE_NN_EVT_18|あなたも、たくさん我慢したですね…\n今まで、よく頑張ったのです。$k$p大丈夫です、私にはあなたの\n言いたいことが分かるですよ。$k$p$E通常,|望み通り、一瞬で終わらせますです。\n痛いのはこれで最後なのですよ…$k
MID_E000_BT_マーク女: $t0$Wmマーク女|6$w0|$Wsマーク女|$Wa$E苦,汗|$SvpSE_VOICE_MARC_F_EVT_8|床一面のトゲに、傷を癒す床…\nこんな戦場があるなんて…$k$p本で読んだどの戦術を使えば\n上手く勝てるのか、見当もつきません。$k$p$E怒,汗|策で父さんの役に立てないのなら、\nせめて戦力として貢献しないと…！$k
MID_E000_BT_パリス: $t0$Wmパリス|6$w0|$Wsパリス|$Wa$E苦,汗|$SvpSE_VOICE_PARIS_EVT_2|…こんな戦いにくい場所は初めてだ。\n力さえあれば勝てると思っていたが、$k$pここでは力任せに向かっていけば\n命を落としてしまうだろうな。$k$p$Eキメ,汗|ただ強さを身につけているだけでは\n勝てない戦いもあるということか…$k
MID_E000_BT_バジーリオ: $t0$Wmバジーリオ|6$w0|$Wsバジーリオ|$Wa$E苦,汗|$SvpSE_VOICE_BASILIO_EVT_9|おいおい、こいつら全部\nあの野郎の犠牲者なのかよ！？$k$pこんな姿になるまで殺し合わせるなんて\n相当いかれてやがるな！$k$p$E怒,汗|くそっ、待ってろよ…\n今楽にしてやるからな！$k
MID_E000_BT_レンハ: $t0$Wmレンハ|6$w0|$Wsレンハ|$Wa$E苦,|$SvpSE_VOICE_LENHA_EVT_17|人として終われなかった者たちの\n無念は如何ほどのものか…$k$pお前たちを元に戻すことはできぬが、\nせめて私の手で眠らせてやろう。$k$p$E怒,|サイリ…この者たちの魂を、どうか\nお前のいる場所まで導いてやってくれ…$k
MID_E000_BT_ヴァルハルト: $t0$Wmヴァルハルト|6$w0|$Wsヴァルハルト|$Wa$SvpSE_VOICE_WALTRUD_EVT_3|暗殺者を創るなどという戯れの\n犠牲になるとは、不憫な魂よ。$k$pだが、もう立ち上がらずとも良い。\nうぬは十分に闘い抜いた。$k$pせめて我が一撃で…痛みも苦しみも\n感ずることなく、眠りにつくが良い。$k
MID_E000_BT_ギャンレル: $t0$Wmギャンレル|6$w0|$Wsギャンレル|$Wa$E苦,汗|$SvpSE_VOICE_GANGREL_EVT_16|おいおいおい悪趣味な場所だな！？\nさすがのオレも引いちまうぜ！？$k$p下手に動いたら串刺しになっちまうし\nほんとにめんどくせー…$k$pいっそ外からこの建物ごと\nブッ潰しときゃ良かったんじゃねぇの？$k
MID_E000_BT_サイリ: $t0$Wmサイリ|6$w0|$Wsサイリ|$Wa$E苦,汗|$SvpSE_VOICE_SAYRI_EVT_16|このような姿にさせて戦わせるとは、\n死者への侮辱に他ならぬ…！$k$p体の痛みも、心の痛みも\n相当のものであったろうに…$k$p$E怒,汗|苦痛に耐えた魂を、こんな形でしか\n救ってやれぬのが無念でならぬ…！$k
MID_E000_BT_アンナ: $t0$Wmアンナ|6$w0|$Wsアンナ|$Wa$SvpSE_VOICE_ANNA_EVT_1|あら？　ここのトゲトゲ、よく見たら\n結構良い金属使ってるのねー。$k$p錆びても切れ味抜群で素敵だわ。\n鉄かしら、鋼かしら、仕入れ値は…$k$p$E苦,|って、素材を調べてる場合じゃなかったわ！\n…これが商売人の性ってやつなのかしら。$k
MID_E000_BT_チキ: $t0$Wmチキ|6$w0|$Wsチキ|$Wa$Eキメ,|$SvpSE_VOICE_TIKI_EVT_16|可哀相に…ここにいる魂は、\nみんな助けを求めているわ…$k$p$E通常,|大丈夫…もう頑張らなくていい。\nもう争い合わなくてもいいのよ。$k$p私が来たからには、すぐに楽にしてあげる。\n今度こそ安らかに…お眠りなさい。$k
MID_E000_BT_インバース: $t0$Wmインバース|6$w0|$Wsインバース|$Wa$E苦,汗|$SvpSE_VOICE_INVERSE_EVT_13|嫌だわ…こんな場所にいたら、\n傷だらけになるじゃない…$k$p困るわぁ。私、痛めつけられる方は\nあんまり得意じゃないのよねぇ。$k$p$E笑,|でも、その逆はとっても得意なんだけど。\nあなた…試してみる？$k
MID_E000_BT_フラヴィア: $t0$Wmフラヴィア|6$w0|$Wsフラヴィア|$Wa$E苦,汗|$SvpSE_VOICE_FLAVIA_EVT_10|何なんだいこの場所は！\n戦いにくいったらありゃしないよ！$k$p普通の戦場ならこんな奴ら\nすぐに蹴散らしてやれるんだけど…$k$pトゲのせいで思うように動けないし、\n好きに暴れられないのは辛いねぇ。$k
MID_E000_BT_エメリナ: $t0$Wmエメリナ|6$w0|$Wsエメリナ|$Wa$E苦,|$SvpSE_VOICE_EMELINA_EVT_16|あなた…つらかった…のね。\nじぶんのこころを…すててしまうほど。$k$pまにあわなくて…\nごめん…なさい。$k$pわたし、あなたが…あなたであるうちに、\nたすけてあげたかった…$k
