MESS_ARCHIVE_マイルーム挨拶


Message Name: Message


MID_マイルーム挨拶_クロム_朝: おかえり\n$Nu。\nいい朝だな。
MID_マイルーム挨拶_ヴィオール_朝_通常: やぁ、$Nuくん。\n私は爽やかに\n朝の休憩中だよ。
MID_マイルーム挨拶_ヘンリー_朝_通常: おはよう、$Nu。\n朝の休憩って\n楽しいよね～。
MID_マイルーム挨拶_ドニ_朝_通常: おはようだべ。\n$Nuも\n今から休憩なんだべか？
MID_マイルーム挨拶_スミア_朝_通常: ごきげんよう\n$Nuさん。\n今日は早いんですね。
MID_マイルーム挨拶_リズ_朝_通常: あ、$Nuさん！\nおはようー。\n今から休憩するの？
MID_マイルーム挨拶_ソワレ_朝_通常: おはよう、$Nu。\n奇遇だね、\nキミも休憩かい？
MID_マイルーム挨拶_マリアベル_朝_通常: $Nuさんたら\n朝っぱらから\n休憩ですの？
MID_マイルーム挨拶_ティアモ_朝_通常: あら、$Nu。\nあなたも休憩？\n朝は眠いものね。
MID_マイルーム挨拶_ベルベット_朝_通常: おはよう、$Nu。\nもう休憩するの？
MID_マイルーム挨拶_ノノ_朝_通常: あ、$Nuだー！\nノノ、今日は\n早起きしたんだよー！
MID_マイルーム挨拶_オリヴィエ_朝_通常: お、おはようございます\n$Nuさん…\n今から休憩ですか…？
MID_マイルーム挨拶_セルジュ_朝_通常: おはよう、$Nu。\nあなたも今から\n休憩するの？
MID_マイルーム挨拶_ミリエル_朝_通常: おはようございます\n$Nuさん。\n本でも読むのですか？
MID_マイルーム挨拶_サーリャ_朝_通常: あ…$Nu…！\n会えて嬉しいわ…。\n昨日の呪いの成果かしら。
MID_マイルーム挨拶_ジェローム_朝_通常: …$Nu。\n朝から休憩か？
MID_マイルーム挨拶_ウード_朝_親子: 朝から血が騒ぐ…！\n父さん、\nあまり近づくな…っ！
MID_マイルーム挨拶_ウード_朝_通常: 朝から血が騒ぐ…！\nだめだ$Nuさん、\nあまり近づくな…っ！
MID_マイルーム挨拶_アズール_朝_通常: あ、$Nuさんだ。\nおはようございます。\n僕も休憩してたんですよ。
MID_マイルーム挨拶_アズール_朝_親子: あ、父さんだ。\nおはようー。\n今から休憩するの？
MID_マイルーム挨拶_ブレディ_朝_通常: ん？　$Nu…\nお前、朝から休憩かよ？
MID_マイルーム挨拶_ブレディ_朝_親子: ん？　父さん…\n朝から休憩かよ？
MID_マイルーム挨拶_シャンブレー_朝_通常: ひゃっ！\n…$Nuさんか…\n朝からびっくりしたー…
MID_マイルーム挨拶_シャンブレー_朝_親子: ひゃっ！\n…あ、父ちゃんか…\n朝からびっくりしたー…
MID_マイルーム挨拶_ロラン_朝_通常: おはようございます\n$Nuさん。\nあなたもご休憩ですか？
MID_マイルーム挨拶_ロラン_朝_親子: おはようございます\n父様。\nそちらもご休憩ですか？
MID_マイルーム挨拶_マーク男_朝_親子: おはよう、母さん！\n良かったら一緒に\n休憩しようよ！
MID_マイルーム挨拶_マルス_朝_通常: おはようございます\n$Nuさん。\n今日も頑張りましょう。
MID_マイルーム挨拶_マルス_朝_親子: おはようございます\nお母様。\n今日も頑張りましょうね。
MID_マイルーム挨拶_デジェル_朝_通常: おはようございます\n$Nu殿！\n朝の手合わせ願います！
MID_マイルーム挨拶_デジェル_朝_親子: 父さん、おはよう。\nせっかく会ったんだし、\n朝の手合わせしない？
MID_マイルーム挨拶_シンシア_朝_通常: おはよう\n$Nuさん！\n休憩しに来たのー？
MID_マイルーム挨拶_シンシア_朝_親子: おはよう、父さん！\n休憩しに来たのー？
MID_マイルーム挨拶_セレナ_朝_通常: $Nuさん…\nあんた、軍師なのに\n朝っぱらから休憩なの？
MID_マイルーム挨拶_セレナ_朝_親子: あ…父さん…\n父さん、軍師なのに\n朝っぱらから休憩なの？
MID_マイルーム挨拶_ノワール_朝_通常: ひいぃ…！\n$Nuさん…！\nおはようございます…
MID_マイルーム挨拶_ノワール_朝_親子: ひいぃ…！\n…あ、父さん…\nおはようございます…
MID_マイルーム挨拶_ンン_朝_通常: おはようございますです\n$Nuさん。\n休憩なのですか？
MID_マイルーム挨拶_ンン_朝_親子: おはようございますです\nお父さん。\n休憩なのですか？
MID_マイルーム挨拶_マーク女_朝_親子: おはよう、父さん！\n良かったら一緒に\n休憩しましょう！
MID_マイルーム挨拶_パリス_朝_通常: $Nuか…\n朝から訓練でも\nしてきたのか？
MID_マイルーム挨拶_バジーリオ_朝_通常: よう、$Nu！\n朝は気分がいいなー！
MID_マイルーム挨拶_レンハ_朝_通常: 朝から見回りか？\n$Nu殿。
MID_マイルーム挨拶_ヴァルハルト_朝_通常: …$Nuよ。\n朝の鍛錬は\n終わったのか？
MID_マイルーム挨拶_ギャンレル_朝_通常: よぉ$Nu！\n朝から休憩とは\nいいご身分だなぁ？
MID_マイルーム挨拶_サイリ_朝_通常: $Nu殿、\n朝の見回りか？
MID_マイルーム挨拶_アンナ_朝_通常: おはよう$Nu。\n今日も一日\n商売頑張るわよー！
MID_マイルーム挨拶_チキ_朝_通常: あ、$Nu…\n聞いて。私、久しぶりに\nすっきり目が覚めたの。
MID_マイルーム挨拶_インバース_朝_通常: あら、$Nu。\n朝から休憩なのぉ？\nそれとも見回りかしらぁ？
MID_マイルーム挨拶_フラヴィア_朝_通常: $Nuじゃないか！\n朝っぱらから\n見回りかい？
MID_マイルーム挨拶_エメリナ_朝_通常: おは…よう…
MID_マイルーム挨拶_クロム_昼_通常: あぁ、$Nu。\nお前も休憩か。
MID_マイルーム挨拶_フレデリク_昼_通常: こんにちは\n$Nuさん。\n今からご休憩ですか？
MID_マイルーム挨拶_ソール_昼_通常: やぁ、$Nu。\nなんかお腹すいたなー。
MID_マイルーム挨拶_カラム_昼_通常: あ、$Nu…\n僕のこと、見えてる…？
MID_マイルーム挨拶_リヒト_昼_通常: あ、$Nuさん！\n休憩しに来たのー？
MID_マイルーム挨拶_ヴェイク_昼_通常: よぉ$Nu！！\n俺様、お昼の\n休憩中だぜー！
MID_マイルーム挨拶_リベラ_昼_通常: こんにちは\n$Nuさん。\n今日もどうかご無事で。
MID_マイルーム挨拶_ロンクー_昼_通常: $Nuか…\n…お前も休憩に来たのか。
MID_マイルーム挨拶_グレゴ_昼_通常: よっ、$Nu！\n昼間っから休憩かー？
MID_マイルーム挨拶_ガイア_昼_通常: お、$Nu。\nお前もおやつの時間か？
MID_マイルーム挨拶_ヴィオール_昼_通常: やぁ、$Nuくん。\n私は華麗に\nお昼の休憩中だよ。
MID_マイルーム挨拶_ヘンリー_昼_通常: あ、$Nu～。\nお昼の休憩って\n楽しいよね～。
MID_マイルーム挨拶_ドニ_昼_通常: こんにちはだべ。\n$Nuも\n今から休憩なんだべか？
MID_マイルーム挨拶_スミア_昼_通常: ごきげんよう\n$Nuさん。\nお昼の休憩ですか？
MID_マイルーム挨拶_リズ_昼_通常: あ、$Nuさん！\nこんにちはー。\n今から休憩するの？
MID_マイルーム挨拶_ソワレ_昼_通常: やぁ、$Nu。\n奇遇だね、\nキミも休憩かい？
MID_マイルーム挨拶_マリアベル_昼_通常: $Nuさんたら\n真っ昼間から\n休憩ですの？
MID_マイルーム挨拶_ティアモ_昼_通常: あら、$Nu。\nあなたも休憩？\nお昼は眠くなるものね。
MID_マイルーム挨拶_ベルベット_昼_通常: あら、$Nu。\nお昼の休憩かしら？
MID_マイルーム挨拶_ノノ_昼_通常: あ、$Nuだー！\nノノといっしょに\nきゅーけーしよう！
MID_マイルーム挨拶_オリヴィエ_昼_通常: こ、こんにちは\n$Nuさん…\n今から休憩ですか…？
MID_マイルーム挨拶_セルジュ_昼_通常: あら$Nu。\nあなたも今から\n休憩するの？
MID_マイルーム挨拶_ミリエル_昼_通常: こんにちは\n$Nuさん。\n今から休憩ですか？
MID_マイルーム挨拶_サーリャ_昼_通常: あ…$Nu…！\n会えて嬉しいわ…。\n朝の呪いの成果かしら。
MID_マイルーム挨拶_ジェローム_昼_通常: …$Nu。\n昼間から休憩か？
MID_マイルーム挨拶_ウード_昼_通常: 昼間は血が騒ぐ…！\n$Nu、\nあまり近づくな…っ！
MID_マイルーム挨拶_ウード_昼_親子: 昼間は血が騒ぐ…！\nだめだ父さん、\nあまり近づくな…っ！
MID_マイルーム挨拶_アズール_昼_通常: あ、$Nuさんだ。\nヒマなんだったら\n一緒に出かけませんか？
MID_マイルーム挨拶_アズール_昼_親子: あ、父さんだ。\nヒマなんだったら\n一緒に出かけないー？
MID_マイルーム挨拶_ブレディ_昼_通常: あぁ？　$Nu…\nお前も休憩かよ？
MID_マイルーム挨拶_ブレディ_昼_親子: あぁ？　父さん…\n昼間っから休憩かよ？\nもしかしてヒマなのか？
MID_マイルーム挨拶_シャンブレー_昼_通常: ひぇぇっ！\n…$Nuさんか…\n驚かさないで下さいよ…
MID_マイルーム挨拶_シャンブレー_昼_親子: ひぇぇっ！\n…あ、父ちゃんか…\n驚かさないでくれよー…
MID_マイルーム挨拶_ロラン_昼_通常: こんにちは、\n$Nuさん。\nあなたもご休憩ですか？
MID_マイルーム挨拶_ロラン_昼_親子: こんにちは、父様。\nそちらもご休憩ですか？
MID_マイルーム挨拶_マーク男_昼_親子: あ、母さんだ！！\n良かったら一緒に\n戦術の勉強しようよ！
MID_マイルーム挨拶_マルス_昼_通常: こんにちは\n$Nuさん。\n私はそろそろ戻りますね。
MID_マイルーム挨拶_マルス_昼_親子: こんにちは、お母様。\n今からご休憩ですか？\n私はそろそろ戻りますね。
MID_マイルーム挨拶_デジェル_昼_通常: $Nu殿、\n休憩が終わったら私と\n手合わせして下さい！
MID_マイルーム挨拶_デジェル_昼_親子: あ、父さん。\n休憩が終わったら私と\n手合わせしてくれる？
MID_マイルーム挨拶_シンシア_昼_通常: あ、$Nuさん！\nお昼から休憩ー？\nそれとも暇してるの？
MID_マイルーム挨拶_シンシア_昼_親子: あ、父さん！\nお昼から休憩ー？\nそれとも暇してるの？
MID_マイルーム挨拶_セレナ_昼_通常: $Nuさん…\nあんた、軍師なのに\n昼間っから休憩なの？
MID_マイルーム挨拶_セレナ_昼_親子: あ…父さん…\nあんた、軍師なのに\n昼間っから休憩なの？
MID_マイルーム挨拶_ノワール_昼_通常: ひいぃ…！！\n$Nuさん…！\nきゅ、休憩ですか…？
MID_マイルーム挨拶_ノワール_昼_親子: ひいぃ…！\n…あ、父さん…。\nきゅ、休憩ですか…？
MID_マイルーム挨拶_ンン_昼_通常: $Nuさんも\n休憩なのですね。\n私と一緒なのです。
MID_マイルーム挨拶_ンン_昼_親子: お父さんも\n休憩なのですね。\n私と一緒なのです。
MID_マイルーム挨拶_マーク女_昼_親子: あ、父さんだ！！\n良かったら一緒に\n戦術の勉強しましょうよ！
MID_マイルーム挨拶_パリス_昼_通常: $Nuか…\n戦いに備えて\n体を休めるといい。
MID_マイルーム挨拶_バジーリオ_昼_通常: よう、$Nu！\n昼間っから本でも\n読みにきたのかぁ？
MID_マイルーム挨拶_レンハ_昼_通常: 昼の見回りか？\n$Nu殿。
MID_マイルーム挨拶_ヴァルハルト_昼_通常: …$Nuよ。\n昼の鍛錬は\n終わったのか？
MID_マイルーム挨拶_ギャンレル_昼_通常: よぉ$Nu！\n昼間っから休憩とは\nいいご身分だなぁ？
MID_マイルーム挨拶_サイリ_昼_通常: $Nu殿、\nここで会うとは珍しいな。
MID_マイルーム挨拶_アンナ_昼_通常: あら、$Nu。\nヒマなんだったら\n買い物でもしない？
MID_マイルーム挨拶_チキ_昼_通常: あ、$Nu…\nお昼から見回り？\n感心ね。
MID_マイルーム挨拶_インバース_昼_通常: あら、$Nu。\nお昼の休憩なのぉ？\nそれとも見回りかしらぁ？
MID_マイルーム挨拶_フラヴィア_昼_通常: $Nuじゃないか！\nあんたも今から\n休憩かい？
MID_マイルーム挨拶_エメリナ_昼_通常: こん…にちは…
MID_マイルーム挨拶_クロム_夕_通常: 夜になるのは早いな\n$Nu。\n今日も疲れた…
MID_マイルーム挨拶_フレデリク_夕_通常: こんばんは\n$Nuさん。\n今からご休憩ですか？
MID_マイルーム挨拶_ソール_夕_通常: こんばんは$Nu。\nなんかお腹すいたなー。
MID_マイルーム挨拶_カラム_夕_通常: こんばんは\n$Nu…\n僕のこと、見えてる…？
MID_マイルーム挨拶_リヒト_夕_通常: こんばんは\n$Nuさん！\n休憩しに来たのー？
MID_マイルーム挨拶_ヴェイク_夕_通常: よぉ$Nu！！\n俺様、夕方の\n休憩中だぜー！
MID_マイルーム挨拶_リベラ_夕_通常: こんばんは\n$Nuさん。\n今日もご無事で良かった。
MID_マイルーム挨拶_ロンクー_夕_通常: $Nuか…\n…今日は疲れたな。
MID_マイルーム挨拶_グレゴ_夕_通常: よっ、$Nu！\n夕方の休憩ってやつか？
MID_マイルーム挨拶_ガイア_夕_通常: よぉ、$Nu。\n木に引っ掛かってる菓子\n食ってもいいぞ。
MID_マイルーム挨拶_ヴィオール_夕_通常: やぁ、$Nuくん。\n私は優雅に\n夕方の休憩中だよ。
MID_マイルーム挨拶_ヘンリー_夕_通常: 休憩って楽しいな～。\n$Nuも\nそう思うでしょ～？
MID_マイルーム挨拶_ドニ_夕_通常: こんばんはだべ。\n$Nuも\n今から休憩なんだべか？
MID_マイルーム挨拶_スミア_夕_通常: ごきげんよう\n$Nuさん。\n今日は疲れましたね。
MID_マイルーム挨拶_リズ_夕_通常: あ、$Nuさん！\nこんばんわー。\n今から休憩するの？
MID_マイルーム挨拶_ソワレ_夕_通常: やぁ、$Nu。\n今日は疲れたね。\nキミも休憩かい？
MID_マイルーム挨拶_マリアベル_夕_通常: $Nuさんたら\n最近休憩のしすぎでは\nありませんこと？
MID_マイルーム挨拶_ティアモ_夕_通常: あら、$Nu。\nあなたも休憩？\n息抜きは必要よね。
MID_マイルーム挨拶_ベルベット_夕_通常: あら、$Nu。\n今日は疲れたわね。
MID_マイルーム挨拶_ノノ_夕_通常: あ、$Nuだー！\nノノも今から\nきゅーけーするのー！
MID_マイルーム挨拶_オリヴィエ_夕_通常: こ、こんばんは\n$Nuさん…\n夜の見回りですか…？
MID_マイルーム挨拶_セルジュ_夕_通常: まぁ、$Nu。\n肩の上に可愛い虫が\nついてるわよ？
MID_マイルーム挨拶_ミリエル_夕_通常: $Nuさん。\n読んだ本はきちんと\n棚に戻して下さいね。
MID_マイルーム挨拶_サーリャ_夕_通常: あ…$Nu…！\n会えて嬉しいわ…\n昼の呪いの成果かしら。
MID_マイルーム挨拶_ジェローム_夕_通常: …$Nuか。\n私はミネルヴァの\n餌を取りに来ただけだ。
MID_マイルーム挨拶_ウード_夕_通常: 夜は一番血が騒ぐ…！\n$Nu、\nあまり近づくな…っ！
MID_マイルーム挨拶_ウード_夕_親子: 夜は一番血が騒ぐ…！\nだめだ父さん、\nあまり近づくな…っ！
MID_マイルーム挨拶_アズール_夕_通常: あ、$Nuさんだ。\n今日は疲れましたねー。\n一緒に休憩しますか？
MID_マイルーム挨拶_アズール_夕_親子: あ、父さんだ。\n今日は疲れたねー。\n一緒に休憩しない？
MID_マイルーム挨拶_ブレディ_夕_通常: よぉ、$Nu。\n俺も今から休憩なんだ。
MID_マイルーム挨拶_ブレディ_夕_親子: よぉ、父さん。\n俺も今から休憩なんだ。
MID_マイルーム挨拶_シャンブレー_夕_通常: あひょい！\n…$Nuさんか…\n絶滅するかと思った…
MID_マイルーム挨拶_シャンブレー_夕_親子: あひょい！\n…あ、父ちゃんか…\n絶滅するかと思った…
MID_マイルーム挨拶_ロラン_夕_通常: こんばんは、\n$Nuさん。\nあなたもご休憩ですか？
MID_マイルーム挨拶_ロラン_夕_親子: こんばんは、父様。\n父様も今から\nご休憩ですか？
MID_マイルーム挨拶_マーク男_夕_親子: 母さん、こんばんは！\n今日は疲れたねー。
MID_マイルーム挨拶_マルス_夕_通常: あ、$Nuさん…\nこの場所は本当に\n心が安らぎますね。
MID_マイルーム挨拶_マルス_夕_親子: あ、お母様…\nこの場所は本当に\n心が安らぎますね。
MID_マイルーム挨拶_デジェル_夕_通常: $Nu殿！\nお暇でしたら\n手合わせ願います！
MID_マイルーム挨拶_デジェル_夕_親子: あら、父さん。\nもしかして今ヒマなの？\n手合わせしてくれない？
MID_マイルーム挨拶_シンシア_夕_通常: こんばんは\n$Nuさん！\n休憩しに来たのー？
MID_マイルーム挨拶_シンシア_夕_親子: こんばんは、父さん！\n休憩しに来たのー？
MID_マイルーム挨拶_セレナ_夕_通常: $Nuさん…。\nきょ、今日は\nお疲れさま…
MID_マイルーム挨拶_セレナ_夕_親子: あ…父さん…\n今日はその…\nお、お疲れさま…
MID_マイルーム挨拶_ノワール_夕_通常: ひいぃ…！！\n$Nuさん…！\nこ、こんばんは…
MID_マイルーム挨拶_ノワール_夕_親子: ひいぃ…！\n…あ、父さん…\nこ、こんばんは…
MID_マイルーム挨拶_ンン_夕_通常: こんばんはです\n$Nuさん。\n今日は疲れましたですね。
MID_マイルーム挨拶_ンン_夕_親子: こんばんはです\nお父さん。\n今日は疲れましたですね。
MID_マイルーム挨拶_マーク女_夕_親子: 父さん、こんばんは！\n今日は疲れたわねー。
MID_マイルーム挨拶_パリス_夕_通常: $Nuか…\n俺は今から\n訓練しに行ってくる。
MID_マイルーム挨拶_バジーリオ_夕_通常: よう、$Nu！\n今日はさすがに\n疲れたなー！
MID_マイルーム挨拶_レンハ_夕_通常: 夜の見回りか？\n$Nu殿。
MID_マイルーム挨拶_ヴァルハルト_夕_通常: …$Nuよ。\n夕の鍛錬は\n終わったのか？
MID_マイルーム挨拶_ギャンレル_夕_通常: お、$Nu。\nなんだよお前も\n休憩かァ！？
MID_マイルーム挨拶_サイリ_夕_通常: $Nu殿も\n今から休憩か？
MID_マイルーム挨拶_アンナ_夕_通常: こんばんは\n$Nu。\nあなたも休憩かしら？
MID_マイルーム挨拶_チキ_夕_通常: あ、$Nu…\n夜の見回りしてるの？\n感心ね。
MID_マイルーム挨拶_インバース_夕_通常: こんばんは\n$Nu。\n今日は疲れたわぁ…
MID_マイルーム挨拶_フラヴィア_夕_通常: $Nuじゃないか！\n夜の見回り\nご苦労さん。
MID_マイルーム挨拶_エメリナ_夕_通常: こん…ばん…わ。
MID_マイルーム挨拶_クロム_夜_通常: …$Nu。\n見回りもいいが、\n早く休んで明日に備えろ。
MID_マイルーム挨拶_フレデリク_夜_通常: もう夜遅いですね\n$Nuさん。\n陣営内の見回りですか？
MID_マイルーム挨拶_ソール_夜_通常: もう夜遅いね\n$Nu。\nなんかお腹すいたなー。
MID_マイルーム挨拶_カラム_夜_通常: もう夜遅いね\n$Nu…\n僕のこと、見えてる…？
MID_マイルーム挨拶_リヒト_夜_通常: もう夜遅いね\n$Nuさん！\n休憩しに来たのー？
MID_マイルーム挨拶_ヴェイク_夜_通常: よぉ$Nu！！\n俺様、夜中の\n休憩中だぜー！
MID_マイルーム挨拶_リベラ_夜_通常: もう遅いですね\n$Nuさん。\n明日もどうかご無事で。
MID_マイルーム挨拶_ロンクー_夜_通常: $Nuか…\nこんな時間に\n何をしている…
MID_マイルーム挨拶_グレゴ_夜_通常: よっ、$Nu！\nちゃんと休んどけよー。
MID_マイルーム挨拶_ガイア_夜_通常: もう夜遅いぞ\n$Nu。\n今からは菓子を食うなよ。
MID_マイルーム挨拶_ヴィオール_夜_通常: やぁ、$Nuくん。\n私は貴族的に\n就寝前の休憩中だよ。
MID_マイルーム挨拶_ヘンリー_夜_通常: あれ～？\n$Nu、今日は\nまだ寝ないんだね～。
MID_マイルーム挨拶_ドニ_夜_通常: $Nuも\n休憩だべか？\nおらも今日は疲れたべ。
MID_マイルーム挨拶_スミア_夜_通常: ごきげんよう\n$Nuさん。\nもう夜遅いですね。
MID_マイルーム挨拶_リズ_夜_通常: あ、$Nuさん！\nわたしも休憩中なんだ。\n偶然だねー！
MID_マイルーム挨拶_ソワレ_夜_通常: やぁ、$Nu。\nこれから見回りかい？\nさすがだね。
MID_マイルーム挨拶_マリアベル_夜_通常: $Nuさん、\n早くお休みになった方が\nよろしいですわよ？
MID_マイルーム挨拶_ティアモ_夜_通常: あら、$Nu。\nあなたも休憩？\nもしかして眠れないの？
MID_マイルーム挨拶_ベルベット_夜_通常: あら、$Nu。\nまだ寝てなかったの。
MID_マイルーム挨拶_ノノ_夜_通常: あ、$Nuだ…\nノノ、いますっごく\nねむいの…
MID_マイルーム挨拶_オリヴィエ_夜_通常: あ、$Nuさん…\nもう夜遅いですよ…\nちゃんと休んで下さい…
MID_マイルーム挨拶_セルジュ_夜_通常: あら$Nu。\nあんまり夜更かしすると\n体に障るわよ？
MID_マイルーム挨拶_ミリエル_夜_通常: $Nuさん。\nいつもこんな時間まで\n起きているのですか？
MID_マイルーム挨拶_サーリャ_夜_通常: あ…$Nu…！\n会えて嬉しいわ…\n夕方の呪いの成果かしら。
MID_マイルーム挨拶_ジェローム_夜_通常: …$Nu。\nさっさと寝ろ。
MID_マイルーム挨拶_ウード_夜_通常: 今宵は闇が濃い…！\n$Nu、貴様も\n気をつけるんだ…っ！
MID_マイルーム挨拶_ウード_夜_親子: 今宵は闇が濃い…！\n父さんも\n気をつけるんだ…っ！
MID_マイルーム挨拶_アズール_夜_通常: あ、$Nuさんだ。\nあんまり夜中に出歩くと\n危ないですよ？
MID_マイルーム挨拶_アズール_夜_親子: あ、父さんだ。\nあんまり夜中に出歩くと\n危ないよー？
MID_マイルーム挨拶_ブレディ_夜_通常: あぁん？　$Nu…\nこんな時間に休憩かよ？
MID_マイルーム挨拶_ブレディ_夜_親子: あぁん？　父さん…\nこんな時間に休憩かよ？
MID_マイルーム挨拶_シャンブレー_夜_通常: うひゃっ！\n…$Nuさんか…\n夜中に休憩ですか…？
MID_マイルーム挨拶_シャンブレー_夜_親子: うひゃっ！\n…あ、父ちゃんか…\nこんな夜中に休憩…？
MID_マイルーム挨拶_ロラン_夜_通常: $Nuさん…\n休憩するより、きちんと\nお休みになられては？
MID_マイルーム挨拶_ロラン_夜_親子: 父様…\n休憩するより、きちんと\nお休みになられては？
MID_マイルーム挨拶_マーク男_夜_親子: あ…母さん。\nこんな時間まで見回り？\nさすがだなぁ…
MID_マイルーム挨拶_マルス_夜_通常: あ、$Nuさん…\n私、なんだか\n目が冴えてしまって…
MID_マイルーム挨拶_マルス_夜_親子: あ、お母様…\n私、なんだか\n目が冴えてしまって…
MID_マイルーム挨拶_デジェル_夜_通常: あ、$Nu殿…\nこんな時間まで\nお疲れさまです。
MID_マイルーム挨拶_デジェル_夜_親子: あ、父さん…\nこんな時間まで\nお疲れさま。
MID_マイルーム挨拶_シンシア_夜_通常: もう夜中だね\n$Nuさん！\n休憩しに来たのー？
MID_マイルーム挨拶_シンシア_夜_親子: もう夜中だね、父さん。\n休憩しに来たのー？
MID_マイルーム挨拶_セレナ_夜_通常: $Nuさん…\nあんたまだ起きてたの？\nは、早く寝なさいよね！
MID_マイルーム挨拶_セレナ_夜_親子: あ…父さん…\nまだ起きてたの？\nは、早く寝なさいよね！
MID_マイルーム挨拶_ノワール_夜_通常: ふはははは！\n$Nuよ！\n我も今から休憩だ！！
MID_マイルーム挨拶_ノワール_夜_親子: ふはははは！\n父さんではないか！\n我も今から休憩だ！！
MID_マイルーム挨拶_ンン_夜_通常: $Nuさんったら\n夜更かしは\n良くないのですよ。
MID_マイルーム挨拶_ンン_夜_親子: お父さんったら\n夜更かしは\n良くないのですよ。
MID_マイルーム挨拶_マーク女_夜_親子: あ…父さん。\nこんな時間まで見回り？\nさすがだわ…
MID_マイルーム挨拶_パリス_夜_通常: $Nuか…\nいつもこんな時間まで\n起きているのか？
MID_マイルーム挨拶_バジーリオ_夜_通常: よう、$Nu！\n明日も早いんだから\n早く休めよ！？
MID_マイルーム挨拶_レンハ_夜_通常: $Nu殿…\nこんな時間まで\n見回りとはご苦労だな。
MID_マイルーム挨拶_ヴァルハルト_夜_通常: …$Nuよ。\nこのような時間まで\n見回りか？
MID_マイルーム挨拶_ギャンレル_夜_通常: お、$Nu。\nお前一応軍師なんだから\nもっと早く休めよ！
MID_マイルーム挨拶_サイリ_夜_通常: $Nu殿…\nこんな時間まで見回りとは\n頭が下がるな。
MID_マイルーム挨拶_アンナ_夜_通常: ふわぁ…\n$Nuったら\nまだ起きてたの？
MID_マイルーム挨拶_チキ_夜_通常: うーん…むにゃむにゃ…\n…あ、$Nu。\n私、いま寝ていたかしら？
MID_マイルーム挨拶_インバース_夜_通常: あら、$Nu。\nこんな遅くまで起きてると\n明日が辛いわよぉ？
MID_マイルーム挨拶_フラヴィア_夜_通常: よぅ、$Nu！\n本でも読みに来たのかい？\nまぁ、ほどほどにね。
MID_マイルーム挨拶_エメリナ_夜_通常: きょうは…おそくまで、\nおきてる…ね。
