MESS_ARCHIVE_Menu


Message Name: Message


MID_MENU_確認: 確認
MID_SORTIE_一括整理_おまかせ整理確認: マップに出撃するユニットの持ち物を\nおまかせで整理しますか？\n（出撃しないユニットの持ち物は\n　全て輸送隊に預けられます。）
MID_SORTIE_一括整理_おまかせ整理警告: 輸送隊の持ち物が不足しているため\n出撃する全てのユニットに\n持ち物を持たせることができませんでした。
MID_SORTIE_一括整理_全預け: 全預け
MID_H_SORTIE_一括整理_全預け: 全てのユニットの持ち物を輸送隊に預けます
MID_SORTIE_一括整理_全預け確認: 全てのユニットの持ち物を\n輸送隊に預けますか？
MID_SORTIE_一括整理_全補充: 全補充
MID_H_SORTIE_一括整理_全補充: 全てのユニットの持ち物を輸送隊から補充します
MID_SORTIE_一括整理_全補充確認: 全てのユニットの持ち物を\n輸送隊から補充しますか？
MID_SORTIE_個人一括_おまかせ整理: おまかせ整理
MID_H_SORTIE_個人一括_おまかせ整理: このユニットの持ち物をおまかせで整理します
MID_SORTIE_個人一括_おまかせ整理警告: 輸送隊の持ち物が不足しているため\n持ち物を持たせることができませんでした。
MID_SORTIE_個人一括_全預け: 全預け
MID_H_SORTIE_個人一括_全預け: このユニットの持ち物を輸送隊に預けます
MID_SORTIE_個人一括_全補充: 全補充
MID_H_SORTIE_個人一括_全補充: このユニットの持ち物を輸送隊から補充します
MID_H_SORTIE_出撃人数: $aあと$a0人出撃ユニットを選択できます
MID_B_SORTIE_部隊表: 部隊表
MID_B_SORTIE_一覧: 一覧
MID_B_SORTIE_おまかせ: おまかせ
MID_B_SORTIE_切り替え: 切替
MID_RELIANCE_会話相手選択: 相手をえらんでください
MID_RELIANCE_名前不明: ？？？？？？
MID_MYROOM_占い: 相性占い
MID_H_MYROOM_占い: 相性占いヘルプ
MID_H_MYROOM_占いトップ: ここは気まぐれな占い屋…\n\n任意の２人組が、今この瞬間\n互いをどう思っているか占います。\n\n$c30,130,0,255|※占いの結果は本編には影響しません
MID_MYROOM_データ: データ
MID_H_MYROOM_データ: データヘルプ
MID_MYROOM_いろいろデータ: いろいろデータ
MID_MYROOM_模様替え: 模様替え
MID_H_MYROOM_模様替え: 模様替えヘルプ
MID_MYROOM_模様替え選択: 変更したい背景を選んでください。
MID_MYROOM_様子を見る: 様子を見る
MID_H_MYROOM_様子を見る: 様子を見るヘルプ
MID_MYROOM_キャラ名鑑: 名簿
MID_H_MYROOM_キャラ名鑑: 今までに仲間にしたキャラクターの\n情報を見ることができます
MID_H_MYROOM_キャラ名鑑_死亡ロスト: にて戦死
MID_H_MYROOM_キャラ名鑑_同行ロスト: にて離脱
MID_MYROOM_マイユニ名鑑: マイユニット名鑑
MID_H_MYROOM_マイユニ名鑑: すれちがった人のマイユニットや\nメッセージカードを\n見ることができます
MID_MYROOM_恋愛事情: マイユニ★恋愛事情
MID_H_MYROOM_恋愛事情: すれちがったプレイヤーの\n恋愛支援表を見ることができます
MID_MYROOM_カード編集: カード編集
MID_MYROOM_見渡す: 見渡す
MID_H_MYROOM_見渡す: パッドでカメラを動かして見渡せます。
MID_MYROOM_カメラ操作: カメラ操作
MID_H_MYROOM_カード編集: メッセージカードを編集します
MID_MYROOM_個性: 個性
MID_H_MYROOM_個性: 二つ名を選びます
MID_MYROOM_表情: 表情
MID_H_MYROOM_表情: 表情を選びます
MID_MYROOM_表情_普通: 普通
MID_MYROOM_表情_キメ: キメ
MID_MYROOM_表情_怒: 怒
MID_MYROOM_表情_笑: 笑
MID_MYROOM_表情_苦: 苦
MID_MYROOM_出身地: 出身地
MID_H_MYROOM_出身地: 出身地を選びます
MID_MYROOM_普段の姿: 普段の姿
MID_H_MYROOM_普段の姿: 普段の姿を選びます
MID_MYROOM_大事なもの: 大事なもの
MID_H_MYROOM_大事なもの: 大事なものを選びます
MID_MYROOM_メッセージ: メッセージ
MID_H_MYROOM_メッセージ: 一言メッセージを編集します
MID_MYROOM_難易度公開: 難易度公開
MID_H_MYROOM_難易度公開: 難易度を公開するかどうかを選びます
MID_MYROOM_難易度公開_公開: 公開する
MID_MYROOM_難易度公開_非公開: 公開しない
MID_MYROOM_紹介: よろしくお願いします。
MID_MYROOM_挨拶: こんにちは。
MID_MYROOM_戦闘: 勝負！
MID_MYROOM_仲間: 一緒にがんばります。
MID_MYROOM_スラッシュ: ／
MID_MYROOM_並び替え: 並び替え
MID_MYROOM_番号順: 番号順
MID_MYROOM_５０音順: ５０音順
MID_MYROOM_イベント発生: 新しいイベントが発生しました！
MID_MYROOM_誕生日発生: 誕生日イベントが発生しました！
MID_MYROOM_誕生日終了: 誕生日が終わり、\n寂しそうに去って行きました。
MID_SHOP_購入: 買う
MID_SHOP_購入確認: $a$a0Ｇで買いますか？
MID_SHOP_売却: 売る
MID_SHOP_売却確認: $a$a0Ｇで売りますか？
MID_SHOP_売却不可: 不可
MID_SHOP_錬成: 錬成する
MID_SHOP_錬成確認: $a$a0Ｇで錬成しますか？
MID_SHOP_錬成可: 可
MID_SHOP_錬成不可: 不可
MID_SHOP_輸送隊: 輸送隊
MID_SHOP_値段: 値段
MID_SHOP_限界: 限界
MID_H_SHOP_錬成_威力: 威力
MID_H_SHOP_錬成_命中: 命中
MID_H_SHOP_錬成_必殺: 必殺
MID_SHOP_終了確認: 終了しますか？
MID_SHOP_アイテム名: アイテム
MID_SHOP_回数: 回数
MID_SHOP_装備: 装備
MID_SHOP_在庫数: 在庫
MID_SHOP_売却数: 売却数
MID_SHOP_価格: 価格
MID_SHOP_売却価格: 売却価格
MID_SHOP_錬成可否: 錬成
MID_SHOP_確認_買う: 買う
MID_SHOP_確認_売る: 売る
MID_SHOP_確認_やめる: やめる
MID_SHOP_記号_装備中: 装備中
MID_SHOP_記号_装備可: ○
MID_SHOP_記号_装備不可: ×
MID_SHOP_名前_武器屋: 武器屋
MID_SHOP_名前_行商人: 行商人
MID_SHOP_名前_持ち物を買う: 持ち物を買う
MID_SHOP_錬成強化残り回数: 残り
MID_SHOP_費用: 費用
MID_SHOP_交渉終了確認: 終了しますか？
MID_SHOP_MESS_入店: いらっしゃい。何が望みだい？
MID_SHOP_MESS_入店_行商人: いらっしゃい。何か御用？\n今しか売ってない商品もあるわよ。
MID_SHOP_MESS_錬成数最大です: 錬成武器がいっぱいじゃねえか。\n売るか使い切ってからまた来てくれ。
MID_SHOP_MESS_錬成数最大です_行商人: 錬成武器がいっぱいね。\n売るか使い切ってからまた来てね。
MID_SHOP_MESS_誰が買う: 誰が買ってくれるんだい？
MID_SHOP_MESS_誰が買う_行商人: 誰が買ってくれるの？
MID_SHOP_MESS_誰が売る: 誰が売ってくれるんだい？
MID_SHOP_MESS_誰が売る_行商人: 誰が売ってくれるの？
MID_SHOP_MESS_誰のを錬成: 誰のものを鍛えればいいんだい？
MID_SHOP_MESS_誰のを錬成_行商人: 誰のものを鍛えればいい？
MID_SHOP_MESS_何を買う: 品物を見てくれよな。
MID_SHOP_MESS_何を買う_行商人: 品物を見ていってね。
MID_SHOP_MESS_何を買う_交渉: 品物を見てください。
MID_SHOP_MESS_何を売る: 何を売ってくれるんだい？
MID_SHOP_MESS_何を売る_行商人: 何を売ってくれるの？
MID_SHOP_MESS_何を鍛える: どれを鍛え直せばいいんだい？
MID_SHOP_MESS_何を鍛える_行商人: どれを鍛え直せばいい？
MID_SHOP_MESS_いくつ売る: いくつ売ってくれるんだい？
MID_SHOP_MESS_いくつ売る_行商人: いくつ売ってくれるの？
MID_SHOP_MESS_購入確認: $a$a0Ｇだ。　これでいいかい？
MID_SHOP_MESS_購入確認_行商人: $a$a0Ｇよ。　これでいい？
MID_SHOP_MESS_購入確認_交渉: $a$a0Ｇです。　これでいいですか？
MID_SHOP_MESS_売却確認: $aそいつなら$a0Gで買い取るぜ。
MID_SHOP_MESS_売却確認_行商人: $aそれなら$a0Gで買い取るわよ。
MID_SHOP_MESS_錬成確認: $a$a0Ｇだ。 錬成するかい？
MID_SHOP_MESS_錬成確認_行商人: $a$a0Ｇよ。 錬成する？
MID_SHOP_MESS_資金不足: 金が足りないみたいだぜ。
MID_SHOP_MESS_資金不足_行商人: お金が足りないわ。
MID_SHOP_MESS_資金不足_交渉: お金が足りません。
MID_SHOP_MESS_錬成数最大で買えない_交渉: 持っている錬成武器がいっぱいです。
MID_SHOP_MESS_武器名刻む: 武器の名を刻んでやろう。
MID_SHOP_MESS_武器名刻む_行商人: 武器の名を刻んであげるわ。
MID_SHOP_MESS_ほかには？: 他に用はあるかい？
MID_SHOP_MESS_ほかには？_行商人: 他に何か御用はある？
MID_SHOP_MESS_購入後: 他に買うものはあるかい？
MID_SHOP_MESS_購入後_行商人: 他に買うものはある？
MID_SHOP_MESS_購入後_交渉: 他に買うものはありますか？
MID_SHOP_MESS_売却後: 他に売ってくれるものはあるかい？
MID_SHOP_MESS_売却後_行商人: 他に売ってくれるものはある？
MID_SHOP_MESS_錬成内容確認: こいつの能力をどうする？
MID_SHOP_MESS_錬成内容確認_行商人: これの能力をどうするの？
MID_SHOP_MESS_輸送隊に送る: ありがとよ。　輸送隊に送っておくぜ。
MID_SHOP_MESS_輸送隊に送る_行商人: ありがとう。　輸送隊に送っておくわ。
MID_SHOP_MESS_また来い: また来てくれよな。
MID_SHOP_MESS_また来い_行商人: また来てね。
MID_INPUT_ひらがな: かな
MID_INPUT_カタカナ: カナ
MID_INPUT_漢字: 漢字
MID_INPUT_英数字: ABC
MID_INPUT_一字削除: 一字削除
MID_INPUT_文字未入力: 文字が何も入力されていません
MID_INPUT_文字警告: 表示制限を受ける文字列、または多くの数字が\n入力した名前に含まれているため、通信相手に\nそのまま表示されない場合があります。\n決定してもよろしいですか？
MID_INPUT_文字警告_錬成: 表示制限を受ける文字列、または数字が\n入力した名前に含まれているため、通信相手に\nそのまま表示されない場合があります。\n決定してもよろしいですか？
MID_INPUT_文字禁止: 表示制限を受ける文字列が含まれています。\n入力をやりなおしてください。\n数字は５文字までしか使用できません。
MID_INPUT_名前確認: この名前はすれちがい通信によって\n相手に送信される可能性があります。\n決定してもよろしいですか？
MID_H_INFO_ユニットアイコン: マップ上での見た目
MID_H_INFO_レベル: この兵種になって\nどれだけ経験を積んだかの目安
MID_H_INFO_経験値: 戦闘経験を積んだ値\n１００になるとレベルアップ
MID_H_INFO_ＨＰ: 生命力　現在値／上限値\n０になると戦闘不能になる
MID_H_INFO_力: 力の強さ　高いほど、剣などの\n物理攻撃のダメージが大きい
MID_H_INFO_魔力: 魔力の強さ　高いほど、\n魔法攻撃のダメージが大きい
MID_H_INFO_技: 器用さ　高いほど、\n命中や必殺が高い
MID_H_INFO_速さ: 素早さ　高いほど回避が高い\n敵より５以上高いと、２回攻撃
MID_H_INFO_幸運: 運の良さ　色々な局面に影響\n高いほど、敵の必殺を受けにくい
MID_H_INFO_守備: 守備　高いほど、敵の剣などの\n物理攻撃のダメージを減らせる
MID_H_INFO_魔防: 魔法防御　高いほど、敵の\n魔法攻撃のダメージを減らせる
MID_H_INFO_移動: 移動できる距離　高いほど、\n多くのマスを移動できる
MID_H_INFO_射程: ユニットの攻撃できる範囲
MID_H_INFO_攻撃: 武器や魔法の攻撃力
MID_H_INFO_命中: 高いほど攻撃が命中しやすい
MID_H_INFO_必殺: 高いほど必殺の一撃が出やすい
MID_H_INFO_回避: 高いほど敵の攻撃を避けやすい
MID_H_INFO_剣: 剣　斧に強く、槍に弱い
MID_H_INFO_槍: 槍　剣に強く、斧に弱い
MID_H_INFO_斧: 斧　槍に強く、剣に弱い
MID_H_INFO_弓: 弓　離れた敵に攻撃できる
MID_H_INFO_魔道書: 魔道書　隣の敵にも\n離れた敵にも攻撃できる
MID_H_INFO_杖: 杖　主に回復に使う
MID_H_INFO_竜石: 竜石　竜に変身する時に使う石
MID_H_INFO_獣石: 獣石　獣に変身する時に使う石
MID_H_INFO_魔物: 魔物の攻撃手段
MID_H_INFO_ボス: 邪竜ギムレーの攻撃手段
MID_H_INFO_夫: 結婚した相手\nまたは生涯のパートナー
MID_H_INFO_妻: 結婚した相手\nまたは生涯のパートナー
MID_H_INFO_父親: 血のつながった父親
MID_H_INFO_母親: 血のつながった母親
MID_H_INFO_子供: 結婚相手との間に生まれた子
MID_H_INFO_弱点: ユニットの弱点\n同じマークがある武器には弱い
MID_H_INFO_戦闘力: ユニットの\n総合的な強さの目安
MID_MENU_バックアップ_記録中: セーブデータを記録しています。\n電源を切ったり、\nゲームカードを抜いたりしないでください。
MID_MENU_バックアップ_記録確認: セーブデータを記録しますか？
MID_MENU_バックアップ_記録無し確認: セーブデータを記録せずに\n次の章へ進みますか？
MID_MENU_バックアップ_中断削除確認: 中断データは消えますがよろしいですか？
MID_MENU_バックアップ_削除確認: 本当にデータを消去してもいいですか？
MID_MENU_バックアップ_コピー確認: データをコピーしますか？
MID_MENU_バックアップ_消去中: セーブデータを消去しています。\n電源を切ったり、\nゲームカードを抜いたりしないでください。
MID_MENU_バックアップ_中断消去中: 中断データを消去しています。\n電源を切ったり、\nゲームカードを抜いたりしないでください。
MID_戦績_MVPなし: なし
MID_戦績_MVPコネクト: ＆
MID_NETWORK_通信: 通信
MID_NETWORK_マイチーム: マイチーム
MID_H_NETWORK_マイチーム: すれちがい相手に送るチームを設定します
MID_NETWORK_受信ボックス: 配信ボックス
MID_H_NETWORK_受信ボックス: いつの間に通信で取得したデータを受け取ります
MID_NETWORK_デュアルタッグ: デュアルタッグ
MID_H_NETWORK_デュアルタッグ: 友達の育てたユニットと協力して戦います
MID_NETWORK_マイユニ名鑑: マイユニ名鑑
MID_H_NETWORK_マイユニ名鑑: すれちがい等で仲間にした相手を閲覧、雇う事ができます
MID_NETWORK_通信設定: いつの間に通信
MID_H_NETWORK_通信設定: いつの間に通信のＯＮ／ＯＦＦを切り替えます
MID_NETWORK_マイチーム_選択不可: マイユニットが武器を装備していないため、\nマイチームにマイユニットを登録できません。\nマイユニットの装備を確認してください。
MID_NETWORK_デュアルタッグ_選択不可: 武器を装備したユニットがいないため、\nデュアルタッグが行えません。\nユニットの装備を確認してください。
MID_マイユニ名鑑_仲間にする: 仲間にする
MID_H_マイユニ名鑑_仲間にする: お金を払ってこのユニットを仲間にします
MID_マイユニ名鑑_カード閲覧: カード閲覧
MID_H_マイユニ名鑑_カード閲覧: このユニットのメッセージカードを見ます
MID_マイユニ名鑑_上書き: 強さ上書き
MID_H_マイユニ名鑑_上書き: この仲間ユニットの強さを名鑑に上書きします
MID_マイユニ名鑑_ロック: ロック
MID_H_マイユニ名鑑_ロック: このユニットが名鑑から消えないようロックします
MID_マイユニ名鑑_ロック解除: ロック解除
MID_H_マイユニ名鑑_ロック解除: このユニットのロックを解除します
MID_DUAL_ガイド: デュアルタッグでは、\nあなたが選んだユニットが\n「装備している武器」で戦います。\n「身支度」で装備を整えておきましょう。\nまた、デュアルタッグの開始前・終了後は\nセーブしておくことをお勧めします。
MID_DUAL_部屋選択: 共闘する部屋を選択 or 作成して下さい
MID_DUAL_部屋なし: ーーーーーーー
MID_DUAL_新規部屋: 新しく部屋を作る
MID_DUAL_部屋更新: 部屋の更新
MID_DUAL_プレイヤー確定待ち: プレイヤーの確定を待っています
MID_DUAL_プレイヤー1: PLAYER 1
MID_DUAL_プレイヤー2: PLAYER 2
MID_DUAL_敵選択: 戦う敵軍を選んで下さい
MID_DUAL_敵軍名: 敵軍名
MID_DUAL_強さ: 強さ
MID_DUAL_討伐回数: 討伐回数
MID_DUAL_最短記録: 最短記録
MID_DUAL_回: 回
MID_DUAL_ターン: ターン
MID_DUAL_ターン記録なし: ーーーー
MID_DUAL_敵お宝: 所持するお宝…
MID_DUAL_など: など
MID_DUAL_敵決定待ち: 敵軍が決定するまでお待ちください。
MID_DUAL_敵決定報告: 敵軍が決定しました
MID_DUAL_戦闘開始: 戦闘開始
MID_H_DUAL_出撃人数: $aあと$a0人ユニットを選択できます
MID_DUAL_ユニット選択不可: 装備可能な武器を持っていないため、選択できません
MID_DUAL_ユニット確認: あなたのチームはこれでいいですか？
MID_DUAL_相手ユニット決定待ち: 相手のチームの決定を待っています。
MID_DUAL_相手待ち: 相手を待っています。
MID_DUAL_戦闘ユニット選択: 戦わせるユニットを選択して下さい
MID_DUAL_サポートユニット選択: サポートユニットを選択して下さい
MID_DUAL_リタイア: リタイア
MID_DUAL_リタイア確認: リタイアしますか？
MID_DUAL_ユニット交替説明: ゲージが無くなるまでに交替してください
MID_DUAL_戦闘不能: 戦闘不能
MID_DUAL_相手戦闘ユニット決定待ち: 相手のユニットの決定を待っています。
MID_DUAL_相手決定待ち: 相手の決定を待っています。
MID_DUAL_続行確認1: 続けてこの敵と戦いますか？
MID_DUAL_続行確認2: いいえを選ぶと、ここで\nリタイアすることができます。
MID_DUAL_リトライ確認: 続けますか？
MID_DUAL_通信初期化中: 通信の設定中です。
MID_DUAL_部屋検索中: 部屋を探しています。
MID_DUAL_部屋作成中: 部屋を作成しています。
MID_DUAL_部屋接続中: 選択した部屋に接続中です。
MID_DUAL_通信終了: 通信を終了しています。
MID_DUAL_相手消失: 相手がいなくなりました。\n終了します。
MID_DUAL_通信エラー: 通信が切断されました。\n終了します。
MID_DUAL_通信モードがOFF: 通信を行う場合は、\n無線スイッチをスライドして、\n無線通信をオンにしてください。
MID_DUAL_★０１: カラム守備班
MID_DUAL_★０２: セルジュ飛兵班
MID_DUAL_★０３: マリアベル補給班
MID_DUAL_★０４: フレデリク守備班
MID_DUAL_★０５: スミア飛兵班
MID_DUAL_★０６: ティアモ飛兵隊
MID_DUAL_★０７: ソワレ騎兵隊
MID_DUAL_★０８: ベルベット山岳隊
MID_DUAL_★０９: ノノ竜騎兵隊
MID_DUAL_★１０: ヴィオール弓兵隊
MID_DUAL_★１１: ロンクー剣聖団
MID_DUAL_★１２: ソール騎兵団
MID_DUAL_★１３: ヴェイク狂戦士団
MID_DUAL_★１４: バジーリオ傭兵軍
MID_DUAL_★１５: リヒト神軍団
MID_DUAL_★１６: ヘンリー魔法旅団
MID_DUAL_★１７: ガイア偵察隊
MID_DUAL_★１８: サーリャ魔法軍団
MID_DUAL_★１９: グレゴ傭兵軍団
MID_DUAL_★２０: サイリ飛行軍
MID_DUAL_★２１: チキ竜騎兵軍
MID_DUAL_★２２: 魔軍
MID_NETCONFIG_いつの間に: いつの間に通信
MID_NETCONFIG_すれちがい: すれちがい通信
MID_NETCONFIG_データ受信: データ受信
MID_NETCONFIG_オン: オン
MID_NETCONFIG_オフ: オフ
MID_NETCONFIG_受信: データ受信
MID_H_NETCONFIG_いつの間に_オン: いつの間に通信をオンにします
MID_H_NETCONFIG_いつの間に_オフ: いつの間に通信をオフにします
MID_H_NETCONFIG_すれちがい_オン: すれちがい通信をオンにします
MID_H_NETCONFIG_すれちがい_オフ: すれちがい通信をオフにします
MID_H_NETCONFIG_受信: データを受信します
MID_NETCONFIG_いつの間に_オン_確認: いつの間に通信をオンにしますか？
MID_NETCONFIG_いつの間に_オフ_確認: いつの間に通信をオフにしますか？
MID_NETCONFIG_すれちがい_オン_確認: すれちがい通信をオンにしますか？
MID_NETCONFIG_すれちがい_オフ_確認: すれちがい通信をオフにしますか？
MID_NETCONFIG_受信_確認: データを受信しますか？
MID_MYTEAM_選択: メンバー選択
MID_MYTEAM_編集: メッセージ編集
MID_MYTEAM_出撃: すれちがい出撃
MID_MYTEAM_確認: 出撃チーム確認
MID_MYTEAM_同期: 以前設定された\nユニットが現在いないため\nチームを更新しました。
MID_MYTEAM_抜け: メニューを抜けると\nチームの設定は失われますが\nよろしいですか？
MID_H_MYTEAM_選択: すれちがい相手に送るチームを、１０人まで選べます
MID_H_MYTEAM_編集: 相手に見せるメッセージや、チーム名を編集します
MID_H_MYTEAM_出撃: 編成したチームですれちがい通信を設定します
MID_H_MYTEAM_確認: 現在、送信ボックスに入っているチームを確認できます
MID_MYTEAM_選択_不可: 装備可能な武器を持っていないため、選択できません。
MID_MYTEAM_選択_確認: このメンバーで決定しますか？
MID_H_MYTEAM_選択_人数: $aあと$a0人チームメンバーを選ぶことができます
MID_MYTEAM_編集_説明: 編集したい項目を\n選んで下さい。
MID_MYTEAM_編集_相手イメージ: 相手のデータでの表示イメージ
MID_MYTEAM_編集_あいさつ: 出会った時
MID_MYTEAM_編集_戦闘: 初戦闘時
MID_MYTEAM_編集_仲間: 仲間入り時
MID_MYTEAM_編集_カード: カード編集
MID_MYTEAM_編集_軍の名前: チーム名
MID_H_MYTEAM_編集_あいさつ: 相手と出会った時のあいさつです
MID_H_MYTEAM_編集_戦闘: リーダーが相手と初めて戦う時に言う言葉です
MID_H_MYTEAM_編集_仲間: リーダーが通信相手の仲間になった時に言う言葉です
MID_H_MYTEAM_編集_カード: メッセージカードを編集します
MID_H_MYTEAM_編集_軍の名前: チーム名です
MID_H_MYTEAM_編集_決定: 決定します
MID_RECVBOX_すれちがいチーム: すれちがいチーム
MID_RECVBOX_配信チーム: 配信チーム
MID_RECVBOX_配信アイテム: 配信アイテム
MID_RECVBOX_配信マップ: 配信マップ
MID_RECVBOX_配信デュアル: 配信デュアル
MID_RECVBOX_名声ボーナス: 名声ボーナス
MID_H_RECVBOX_すれちがいチーム: すれちがいチームを受信します
MID_H_RECVBOX_配信チーム: 配信チームをワールドマップに召喚します
MID_H_RECVBOX_配信アイテム: 配信アイテムを受け取ります
MID_H_RECVBOX_配信マップ: 配信マップを受け取ります
MID_H_RECVBOX_配信デュアル: 配信デュアルを受け取ります
MID_H_RECVBOX_名声ボーナス: 名声ボーナスを受け取ります
MID_H_RECVBOX_チーム_選択: 伝説の英雄を描いたカードから、幻影を召喚できます
MID_H_RECVBOX_配信マップ_選択: 新たな物語をこの世界に追加できます
MID_H_RECVBOX_配信デュアル_選択: 異世界の新たな闘技者を追加できます
MID_RECVBOX_名声ボーナス_アイテム名: アイテム名
MID_RECVBOX_名声ボーナス_必要名声値: 必要名声値
MID_RECVBOX_チーム_確認: チームを自分の世界に召喚しますか？
MID_RECVBOX_アイテム_追加: $a$a0は\n輸送隊に送られました
MID_RECVBOX_アイテム_取得済み: そのアイテムはすでに取得済みです
MID_RECVBOX_マップ_確認: $a$a0を\n追加しますか？
MID_RECVBOX_マップ_取得済み: そのマップはすでに取得済みです
MID_RECVBOX_マップ_取得: 新しいマップを取得しました
MID_RECVBOX_デュアル_追加: $a$a0が\n追加されました
MID_RECVBOX_デュアル_取得済み: そのデュアルはすでに取得済みです
MID_RECVBOX_すれちがいチーム_なし: 受信チームがありません
MID_RECVBOX_配信チーム_なし: 配信チームがありません
MID_RECVBOX_配信アイテム_なし: 配信アイテムがありません
MID_RECVBOX_配信マップ_なし: 配信マップがありません
MID_RECVBOX_配信デュアル_なし: 配信デュアルがありません
MID_RECVBOX_チーム_追加_空きなし: 空きスポットがありません
MID_RECVBOX_チーム_追加_同一: 同一チームが配置されています
MID_RECVBOX_チーム_追加_オーバー: これ以上配置できません
MID_DLC_コンテンツ選択: あそぶ
MID_H_DLC_コンテンツ選択: 遊びたいマップを選んで下さい。
MID_DLC_コンテンツ選択確認: このマップで遊びますか？
MID_DLC_コンテンツ購入: 追加マップ購入
MID_DLC_終了: やめる
MID_DLC_店員: アンナ
MID_DLC_あいさつ: 異界の門へようこそ。\n別世界への旅をご希望かしら？
MID_DLC_ガイド: 異界の門では追加マップを購入し、\nそのマップで遊ぶことができます。
MID_DLC_異伝: 異伝
MID_DLC_章: 章
MID_DLC_マップ: マップ
MID_DLC_最短記録: 最短記録
MID_DLC_ターン: ターン
MID_DLC_ターン記録なし: ーーーー
MID_所属_無し: 無し
MID_所属_暗黒竜: 暗黒竜と光の剣
MID_所属_外伝: 外伝
MID_所属_紋章: 紋章の謎
MID_所属_聖戦(親): 聖戦の系譜(親)
MID_所属_聖戦(子): 聖戦の系譜(子)
MID_所属_トラキア: トラキア７７６
MID_所属_封印: 封印の剣
MID_所属_烈火: 烈火の剣
MID_所属_聖魔: 聖魔の光石
MID_所属_蒼炎: 蒼炎の軌跡
MID_所属_暁: 暁の女神
MID_所属_他: その他
MID_クリア_回想: エクストラに\n「支援会話回想」\n「ムービー回想」\n「ユニットビューアー」\nが追加されました。
MID_クリア_曲選択: 遭遇戦曲選択に\n「強者」が追加されました。
MID_クリア_ルナ＋: 難易度に\n「ルナティック＋」\nが追加されました。
MID_クリア_名鑑: 現在のマイユニットが\nマイユニ名鑑に追加されました。\n他のセーブデータで\n仲間にできます。
MID_クリア_名声: ゲームクリア時の名声値は、次回\n「最初から始める」を選んだ時に\n引き継ぐことができます。\n（今までクリアした中で\n　最も高い名声値が手に入ります）
MID_Movie_Skip: スキップ
