MESS_ARCHIVE_E000


Message Name: Message


MCID_E000: 英霊の魔符３
MPID_配信ロイ: ロイ
MPID_配信エリウッド: エリウッド
MPID_配信エフラム: エフラム
MPID_配信アイク: アイク
MPID_配信サザ: サザ
MPID_配信シーダ: シーダ
MPID_配信セリカ: セリカ
MPID_配信ディアドラ: ディアドラ
MPID_配信ユリア: ユリア
MPID_配信ナンナ: ナンナ
MPID_配信リリーナ: リリーナ
MPID_配信リン: リン
MPID_配信エイリーク: エイリーク
MPID_配信エリンシア: エリンシア
MPID_予約ミカヤ: ミカヤ
MPID_予約03: ミカヤ
MPID_占い: 占い爺
